,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release date,artist popularity
9804,0.349,0.995,5.0,-2.97,0.0,0.183,1.47e-05,0.0142,0.294,0.406,182.342,65040.0,2012-09-04,[52]
9805,0.6579999999999999,0.508,9.0,-7.651,1.0,0.0665,0.274,0.0157,0.0858,0.472,139.974,255368.0,2015-04-06,[32]
9806,0.7120000000000001,0.17600000000000002,1.0,-22.096,1.0,0.955,0.795,0.0,0.142,0.934,128.078,906827.0,2018-06-22,[0]
9807,0.701,0.65,6.0,-6.313,1.0,0.104,0.29100000000000004,0.0,0.112,0.647,90.00299999999999,160212.0,2020-07-10,"[99, 91, 90, 89]"
9808,0.483,0.293,8.0,-21.429,1.0,0.0306,0.608,0.8390000000000001,0.118,0.777,55.088,50233.0,2020-06-05,[52]
9809,0.511,0.807,5.0,-15.136,1.0,0.0454,0.6679999999999999,0.978,0.11,0.728,89.992,109609.0,2020-09-09,[48]
9810,0.58,0.718,8.0,-7.086,1.0,0.122,0.198,7.36e-06,0.0849,0.85,184.179,187339.0,2009-10-19,[40]
9811,0.433,0.313,7.0,-10.411,1.0,0.14400000000000002,0.8,0.0,0.263,0.328,167.384,234773.0,2010-04-02,"[52, 43]"
9812,0.6779999999999999,0.17800000000000002,0.0,-13.99,1.0,0.0713,0.6970000000000001,0.00733,0.0918,0.5660000000000001,89.976,82000.0,2019-05-01,[3]
9813,0.802,0.7340000000000001,10.0,-7.046,0.0,0.0539,2.14e-05,0.422,0.08199999999999999,0.328,124.989,467523.0,2017-08-07,[13]
9814,0.461,0.6890000000000001,0.0,-7.326,1.0,0.0288,0.0078,0.753,0.106,0.6629999999999999,192.074,156747.0,2007-11-16,[29]
9815,0.759,0.725,11.0,-8.49,1.0,0.0469,0.00162,0.8270000000000001,0.14400000000000002,0.228,139.957,285286.0,2020-11-06,"[25, 33]"
9816,0.514,0.0547,7.0,-15.481,1.0,0.0417,0.99,0.42,0.0854,0.466,143.701,114000.0,2020-11-16,"[80, 44, 52]"
9817,0.207,0.0342,4.0,-28.981,0.0,0.042,0.995,0.67,0.334,0.0867,63.479,109960.0,2013-07-10,[33]
9818,0.645,0.56,9.0,-8.762,1.0,0.0345,0.00495,9.51e-05,0.0501,0.345,141.872,274000.0,1994-11-15,[73]
9819,0.752,0.628,2.0,-8.255,1.0,0.141,0.0607,0.0,0.115,0.495,116.122,253965.0,2018-06-01,"[30, 11]"
9820,0.408,0.72,3.0,-11.045,0.0,0.0361,0.00329,0.636,0.105,0.359,81.24,331744.0,2013-10-29,[9]
9821,0.716,0.8,4.0,-7.822,0.0,0.162,0.0732,0.0204,0.344,0.363,77.018,67162.0,2020-11-17,"[32, 25]"
9822,0.6970000000000001,0.127,0.0,-16.209,0.0,0.918,0.858,0.0,0.273,0.528,71.938,200987.0,2010-10-19,[0]
9823,0.502,0.826,10.0,-4.69,1.0,0.0486,0.665,6.46e-06,0.294,0.855,96.951,439080.0,1992-01-01,"[39, 38]"
9824,0.336,0.0377,1.0,-25.018,0.0,0.0439,0.951,7.84e-06,0.121,0.156,104.263,139573.0,2020-11-22,"[75, 55, 24, 25, 24, 24, 31]"
9825,0.585,0.28300000000000003,1.0,-11.918,0.0,0.0355,0.8540000000000001,0.00443,0.116,0.421,119.212,413780.0,2009-07-31,[22]
9826,0.349,0.382,4.0,-10.686,1.0,0.0285,0.8270000000000001,0.000981,0.13,0.469,117.867,76867.0,2003-09-23,[50]
9827,0.628,0.818,11.0,-10.161,0.0,0.0551,0.131,0.0158,0.976,0.818,110.044,354227.0,2020-11-20,[51]
9828,0.305,0.951,5.0,-3.071,1.0,0.105,0.000374,7.699999999999999e-06,0.273,0.379,184.902,306347.0,2006-05-01,[32]
9829,0.504,0.972,0.0,-5.379,1.0,0.0694,3.13e-05,4.17e-05,0.315,0.421,127.012,155560.0,2001-01-09,[50]
9830,0.7509999999999999,0.821,0.0,-2.995,0.0,0.051,0.414,0.0,0.27,0.96,115.082,156853.0,2014-08-13,[60]
9831,0.476,0.343,7.0,-13.705,0.0,0.0393,0.599,0.605,0.145,0.0376,142.93,180105.0,2020-10-16,[51]
9832,0.557,0.94,0.0,-9.212,1.0,0.0416,0.00015800000000000002,0.00818,0.207,0.568,124.994,156265.0,2018-09-28,[1]
9833,0.634,0.513,0.0,-8.609,1.0,0.486,0.5379999999999999,0.0,0.6890000000000001,0.8240000000000001,140.248,91427.0,2015-02-03,"[83, 9]"
